VariableCode,RegionCode,YearCode,AggValue
rgdpe,USA,1950,2447945.50000000000000000
rgdpo,USA,1950,2475627.50000000000000000
pop,USA,1950,155.58397296844000000
emp,USA,1950,62.81436538696290000
avh,USA,1950,1990.14487529606000000
hc,USA,1950,2.58321285247803000
ccon,USA,1950,1910374.62500000000000000
cda,USA,1950,2485442.75000000000000000
cgdpe,USA,1950,2491077.25000000000000000
cgdpo,USA,1950,2487508.00000000000000000
cn,USA,1950,10577081.00000000000000000
rgdpna,USA,1950,2466594.75000000000000000
rconna,USA,1950,2126256.50000000000000000
rdana,USA,1950,2527651.25000000000000000
rnna,USA,1950,10576814.00000000000000000
labsh,USA,1950,0.62836289405822800
irr,USA,1950,0.08216773718595500
xr,USA,1950,1.00000000000000000
pl_da,USA,1950,0.12021923065185500
pl_gdpo,USA,1950,0.12039173394441600
i_cig,USA,1950,0.00000000000000000
i_xm,USA,1950,0.00000000000000000
i_xr,USA,1950,0.00000000000000000
i_outlier,USA,1950,0.00000000000000000
i_irr,USA,1950,0.00000000000000000
csh_c,USA,1950,0.66542834043502800
csh_i,USA,1950,0.23118245601654100
csh_g,USA,1950,0.10255900025367700
csh_x,USA,1950,0.04334210604429250
csh_m,USA,1950,-0.03955889120697980
csh_r,USA,1950,-0.00295306020416319
rgdpe,USA,1951,2620618.50000000000000000
rgdpo,USA,1951,2660815.75000000000000000
pop,USA,1951,158.24770385810900000
emp,USA,1951,65.09264373779300000
avh,USA,1951,2031.63513382597000000
hc,USA,1951,2.59599995613098000
ccon,USA,1951,2013417.87500000000000000
cda,USA,1951,2664891.25000000000000000
cgdpe,USA,1951,2684319.00000000000000000
cgdpo,USA,1951,2688159.75000000000000000
cn,USA,1951,10911349.00000000000000000
rgdpna,USA,1951,2665368.00000000000000000
rconna,USA,1951,2266193.25000000000000000
rdana,USA,1951,2710660.75000000000000000
rnna,USA,1951,10912329.00000000000000000
labsh,USA,1951,0.63373178243637100
irr,USA,1951,0.08271179348230360
xr,USA,1951,1.00000000000000000
pl_da,USA,1951,0.12906874716281900
pl_gdpo,USA,1951,0.12888433039188400
i_cig,USA,1951,0.00000000000000000
i_xm,USA,1951,0.00000000000000000
i_xr,USA,1951,0.00000000000000000
i_outlier,USA,1951,0.00000000000000000
i_irr,USA,1951,0.00000000000000000
csh_c,USA,1951,0.62161862850189200
csh_i,USA,1951,0.24234919250011400
csh_g,USA,1951,0.12737621366977700
csh_x,USA,1951,0.05306698754429820
csh_m,USA,1951,-0.04281194135546680
csh_r,USA,1951,-0.00159908342175186
rgdpe,USA,1952,2718999.00000000000000000
rgdpo,USA,1952,2751933.50000000000000000
pop,USA,1952,160.98089165584300000
emp,USA,1952,65.88435363769530000
avh,USA,1952,2027.81261226693000000
hc,USA,1952,2.60885024070740000
ccon,USA,1952,2133867.00000000000000000
cda,USA,1952,2790967.50000000000000000
cgdpe,USA,1952,2799123.50000000000000000
cgdpo,USA,1952,2795585.75000000000000000
cn,USA,1952,11271676.00000000000000000
rgdpna,USA,1952,2773902.75000000000000000
rconna,USA,1952,2408120.00000000000000000
rdana,USA,1952,2836555.25000000000000000
rnna,USA,1952,11273329.00000000000000000
labsh,USA,1952,0.64485156536102300
irr,USA,1952,0.07874557375907900
xr,USA,1952,1.00000000000000000
pl_da,USA,1952,0.13104547560215000
pl_gdpo,USA,1952,0.13121129572391500
i_cig,USA,1952,0.00000000000000000
i_xm,USA,1952,0.00000000000000000
i_xr,USA,1952,0.00000000000000000
i_outlier,USA,1952,0.00000000000000000
i_irr,USA,1952,0.00000000000000000
csh_c,USA,1952,0.61686712503433200
csh_i,USA,1952,0.23504926264286000
csh_g,USA,1952,0.14643158018589000
csh_x,USA,1952,0.04745666682720180
csh_m,USA,1952,-0.04281313717365260
csh_r,USA,1952,-0.00299152010120451
rgdpe,USA,1953,2852665.50000000000000000
rgdpo,USA,1953,2878352.50000000000000000
pop,USA,1953,163.66914683650800000
emp,USA,1953,66.82071685791020000
avh,USA,1953,2021.45028405232000000
hc,USA,1953,2.62176442146301000
ccon,USA,1953,2246223.50000000000000000
cda,USA,1953,2942662.25000000000000000
cgdpe,USA,1953,2937957.50000000000000000
cgdpo,USA,1953,2928556.00000000000000000
cn,USA,1953,11680725.00000000000000000
rgdpna,USA,1953,2904121.75000000000000000
rconna,USA,1953,2528158.75000000000000000
rdana,USA,1953,2989560.75000000000000000
rnna,USA,1953,11682797.00000000000000000
labsh,USA,1953,0.64449602365493800
irr,USA,1953,0.08078720420598980
xr,USA,1953,1.00000000000000000
pl_da,USA,1953,0.13232299685478200
pl_gdpo,USA,1953,0.13274779915809600
i_cig,USA,1953,0.00000000000000000
i_xm,USA,1953,0.00000000000000000
i_xr,USA,1953,0.00000000000000000
i_outlier,USA,1953,0.00000000000000000
i_irr,USA,1953,0.00000000000000000
csh_c,USA,1953,0.61737060546875000
csh_i,USA,1953,0.23780962824821500
csh_g,USA,1953,0.14963656663894700
csh_x,USA,1953,0.04046311229467390
csh_m,USA,1953,-0.04154253751039510
csh_r,USA,1953,-0.00373741122893989
rgdpe,USA,1954,2838248.50000000000000000
rgdpo,USA,1954,2869544.25000000000000000
pop,USA,1954,166.57297567997900000
